"","index","p","q","P","Q","AIC","BIC","RMSE"
"236",236,3,2,2,3,3290.1323146987,3324.51336347018,5.51637401638861
"237",237,3,2,3,0,3290.1323146987,3324.51336347018,5.51637401638861
"238",238,3,2,3,1,3290.1323146987,3324.51336347018,5.51637401638861
"239",239,3,2,3,2,3290.1323146987,3324.51336347018,5.51637401638861
"240",240,3,2,3,3,3290.1323146987,3324.51336347018,5.51637401638861
"161",161,2,2,0,0,3334.25129171015,3362.90216568638,4.9404003253412
"162",162,2,2,0,1,3334.25129171015,3362.90216568638,4.9404003253412
"163",163,2,2,0,2,3334.25129171015,3362.90216568638,4.9404003253412
"164",164,2,2,0,3,3334.25129171015,3362.90216568638,4.9404003253412
"165",165,2,2,1,0,3334.25129171015,3362.90216568638,4.9404003253412
"166",166,2,2,1,1,3334.25129171015,3362.90216568638,4.9404003253412
"167",167,2,2,1,2,3334.25129171015,3362.90216568638,4.9404003253412
"168",168,2,2,1,3,3334.25129171015,3362.90216568638,4.9404003253412
"169",169,2,2,2,0,3334.25129171015,3362.90216568638,4.9404003253412
"170",170,2,2,2,1,3334.25129171015,3362.90216568638,4.9404003253412
"171",171,2,2,2,2,3334.25129171015,3362.90216568638,4.9404003253412
"172",172,2,2,2,3,3334.25129171015,3362.90216568638,4.9404003253412
"173",173,2,2,3,0,3334.25129171015,3362.90216568638,4.9404003253412
"174",174,2,2,3,1,3334.25129171015,3362.90216568638,4.9404003253412
"175",175,2,2,3,2,3334.25129171015,3362.90216568638,4.9404003253412
"176",176,2,2,3,3,3334.25129171015,3362.90216568638,4.9404003253412
"113",113,1,3,0,0,3373.4746272041,3402.12550118033,4.11694063223014
"114",114,1,3,0,1,3373.4746272041,3402.12550118033,4.11694063223014
"115",115,1,3,0,2,3373.4746272041,3402.12550118033,4.11694063223014
"116",116,1,3,0,3,3373.4746272041,3402.12550118033,4.11694063223014
"117",117,1,3,1,0,3373.4746272041,3402.12550118033,4.11694063223014
"118",118,1,3,1,1,3373.4746272041,3402.12550118033,4.11694063223014
"119",119,1,3,1,2,3373.4746272041,3402.12550118033,4.11694063223014
"120",120,1,3,1,3,3373.4746272041,3402.12550118033,4.11694063223014
"121",121,1,3,2,0,3373.4746272041,3402.12550118033,4.11694063223014
"122",122,1,3,2,1,3373.4746272041,3402.12550118033,4.11694063223014
"123",123,1,3,2,2,3373.4746272041,3402.12550118033,4.11694063223014
"124",124,1,3,2,3,3373.4746272041,3402.12550118033,4.11694063223014
"125",125,1,3,3,0,3373.4746272041,3402.12550118033,4.11694063223014
"126",126,1,3,3,1,3373.4746272041,3402.12550118033,4.11694063223014
"127",127,1,3,3,2,3373.4746272041,3402.12550118033,4.11694063223014
"128",128,1,3,3,3,3373.4746272041,3402.12550118033,4.11694063223014
"97",97,1,2,0,0,3424.22502468111,3447.1457238621,3.75939193019282
"98",98,1,2,0,1,3424.22502468111,3447.1457238621,3.75939193019282
"99",99,1,2,0,2,3424.22502468111,3447.1457238621,3.75939193019282
"100",100,1,2,0,3,3424.22502468111,3447.1457238621,3.75939193019282
"101",101,1,2,1,0,3424.22502468111,3447.1457238621,3.75939193019282
"102",102,1,2,1,1,3424.22502468111,3447.1457238621,3.75939193019282
"103",103,1,2,1,2,3424.22502468111,3447.1457238621,3.75939193019282
"104",104,1,2,1,3,3424.22502468111,3447.1457238621,3.75939193019282
"105",105,1,2,2,0,3424.22502468111,3447.1457238621,3.75939193019282
"106",106,1,2,2,1,3424.22502468111,3447.1457238621,3.75939193019282
"107",107,1,2,2,2,3424.22502468111,3447.1457238621,3.75939193019282
"108",108,1,2,2,3,3424.22502468111,3447.1457238621,3.75939193019282
"109",109,1,2,3,0,3424.22502468111,3447.1457238621,3.75939193019282
"110",110,1,2,3,1,3424.22502468111,3447.1457238621,3.75939193019282
"111",111,1,2,3,2,3424.22502468111,3447.1457238621,3.75939193019282
"112",112,1,2,3,3,3424.22502468111,3447.1457238621,3.75939193019282
"209",209,3,1,0,0,3462.241363313,3490.89223728923,3.60646615193606
"210",210,3,1,0,1,3462.241363313,3490.89223728923,3.60646615193606
"211",211,3,1,0,2,3462.241363313,3490.89223728923,3.60646615193606
"212",212,3,1,0,3,3462.241363313,3490.89223728923,3.60646615193606
