"","index","p","q","P","Q","AIC","BIC","RMSE"
"221","221","3","1","3","0",2372.40345739053,2401.05433136676,4.94647210562912
"222","222","3","1","3","1",2372.40345739053,2401.05433136676,4.94647210562912
"223","223","3","1","3","2",2372.40345739053,2401.05433136676,4.94647210562912
"224","224","3","1","3","3",2372.40345739053,2401.05433136676,4.94647210562912
"225","225","3","2","0","0",2374.39364143339,2408.77469020486,4.94724763958015
"226","226","3","2","0","1",2374.39364143339,2408.77469020486,4.94724763958015
"227","227","3","2","0","2",2374.39364143339,2408.77469020486,4.94724763958015
"228","228","3","2","0","3",2374.39364143339,2408.77469020486,4.94724763958015
"229","229","3","2","1","0",2374.39364143339,2408.77469020486,4.94724763958015
"230","230","3","2","1","1",2374.39364143339,2408.77469020486,4.94724763958015
"231","231","3","2","1","2",2374.39364143339,2408.77469020486,4.94724763958015
"232","232","3","2","1","3",2374.39364143339,2408.77469020486,4.94724763958015
"233","233","3","2","2","0",2374.39364143339,2408.77469020486,4.94724763958015
"234","234","3","2","2","1",2374.39364143339,2408.77469020486,4.94724763958015
"235","235","3","2","2","2",2374.39364143339,2408.77469020486,4.94724763958015
"236","236","3","2","2","3",2374.39364143339,2408.77469020486,4.94724763958015
"237","237","3","2","3","0",2374.39364143339,2408.77469020486,4.94724763958015
"238","238","3","2","3","1",2374.39364143339,2408.77469020486,4.94724763958015
"239","239","3","2","3","2",2374.39364143339,2408.77469020486,4.94724763958015
"240","240","3","2","3","3",2374.39364143339,2408.77469020486,4.94724763958015
"177","177","2","3","0","0",2376.05531348812,2410.4363622596,4.95480354658333
"178","178","2","3","0","1",2376.05531348812,2410.4363622596,4.95480354658333
"179","179","2","3","0","2",2376.05531348812,2410.4363622596,4.95480354658333
"180","180","2","3","0","3",2376.05531348812,2410.4363622596,4.95480354658333
"181","181","2","3","1","0",2376.05531348812,2410.4363622596,4.95480354658333
"182","182","2","3","1","1",2376.05531348812,2410.4363622596,4.95480354658333
"183","183","2","3","1","2",2376.05531348812,2410.4363622596,4.95480354658333
"184","184","2","3","1","3",2376.05531348812,2410.4363622596,4.95480354658333
"185","185","2","3","2","0",2376.05531348812,2410.4363622596,4.95480354658333
"186","186","2","3","2","1",2376.05531348812,2410.4363622596,4.95480354658333
"187","187","2","3","2","2",2376.05531348812,2410.4363622596,4.95480354658333
"188","188","2","3","2","3",2376.05531348812,2410.4363622596,4.95480354658333
"189","189","2","3","3","0",2376.05531348812,2410.4363622596,4.95480354658333
"190","190","2","3","3","1",2376.05531348812,2410.4363622596,4.95480354658333
"191","191","2","3","3","2",2376.05531348812,2410.4363622596,4.95480354658333
"192","192","2","3","3","3",2376.05531348812,2410.4363622596,4.95480354658333
"145","145","2","1","0","0",2380.64043130535,2403.56113048633,4.94790642911813
"146","146","2","1","0","1",2380.64043130535,2403.56113048633,4.94790642911813
"147","147","2","1","0","2",2380.64043130535,2403.56113048633,4.94790642911813
"148","148","2","1","0","3",2380.64043130535,2403.56113048633,4.94790642911813
"149","149","2","1","1","0",2380.64043130535,2403.56113048633,4.94790642911813
"150","150","2","1","1","1",2380.64043130535,2403.56113048633,4.94790642911813
"151","151","2","1","1","2",2380.64043130535,2403.56113048633,4.94790642911813
"152","152","2","1","1","3",2380.64043130535,2403.56113048633,4.94790642911813
"153","153","2","1","2","0",2380.64043130535,2403.56113048633,4.94790642911813
"154","154","2","1","2","1",2380.64043130535,2403.56113048633,4.94790642911813
"155","155","2","1","2","2",2380.64043130535,2403.56113048633,4.94790642911813
"156","156","2","1","2","3",2380.64043130535,2403.56113048633,4.94790642911813
"157","157","2","1","3","0",2380.64043130535,2403.56113048633,4.94790642911813
"158","158","2","1","3","1",2380.64043130535,2403.56113048633,4.94790642911813
"159","159","2","1","3","2",2380.64043130535,2403.56113048633,4.94790642911813
"160","160","2","1","3","3",2380.64043130535,2403.56113048633,4.94790642911813
"33","33","0","2","0","0",2382.09854141922,2399.28906580496,4.95168282256288
"34","34","0","2","0","1",2382.09854141922,2399.28906580496,4.95168282256288
"35","35","0","2","0","2",2382.09854141922,2399.28906580496,4.95168282256288
"36","36","0","2","0","3",2382.09854141922,2399.28906580496,4.95168282256288
